device.display_name,device.hostname,device.id,device.primary_system_user_id,device.os,device.os_version,device.agent_reporting_status,device.last_contact,device_system_detail.uptime,device.hardware_vendor,device.hardware_model,device.serial_number,device.architecture,device_system_detail.memory,device_disk_summary.primary_free,device_disk_summary.primary_used,device_system_detail.cpu_brand,device_system_detail.cpu
abnerlopez-EC1850.local,abnerlopez-EC1850.local,69d688ccfd7da65e469b38a2,6578934ef197f8205143f455,Mac OS X,26.5.1.25F80,Active,2026-06-22T21:00:12.155Z,12520,Apple Inc.,"Mac17,2",L29GKQ2XTT,arm64,3.4359738368e+10,1.93841410048e+11,3.004909568e+11,Apple M5,arm64e ARM64E
Abner Lopez MBP,Abners-MacBook-Pro.local,65789308f662a7855140280a,,Mac OS X,26.3.1.25D2128,Inactive,2026-04-22T02:36:44.422Z,7934,Apple Inc.,"MacBookPro18,1",WYYYWN3HXL,arm64,3.4359738368e+10,1.242687488e+11,3.70116046848e+11,Apple M1 Pro,arm64e ARM64E
Douglas Ortiz MBP 2,Douglass-MacBook-Pro.local,69332723ed8d2e69a639ebc1,6578b0b763047199e9b32e87,Mac OS X,15.7.2.24G325,Inactive,2026-01-05T15:37:41Z,2.548696e+06,Apple Inc.,"Mac14,9",FN45DJ3QK3,arm64,1.7179869184e+10,4.6198448128e+11,3.2400314368e+10,Apple M2 Pro,arm64e ARM64E
Gabriela Martinez MBP,Gabrielas-MacBook-Pro,685dac1d39fb7db9d8043c8a,685da7907b6e15a508d69508,Mac OS X,26.5.1.25F80,Active,2026-06-22T21:00:12.155Z,24036,Apple Inc.,"MacBookPro18,1",L4T2KYPP2W,arm64,1.7179869184e+10,3.34846828544e+11,1.59537967104e+11,Apple M1 Pro,arm64e ARM64E
Gabriel Cobena MBA,Gabriels-MacBook-Air.local,690e186b80736712a586fece,690d1952d21c5c65f9dc4f9a,Mac OS X,26.5.1.25F80,Active,2026-06-22T21:00:12.155Z,24582,Apple Inc.,"Mac14,15",D94QFKHG9V,arm64,1.7179869184e+10,3.8975586304e+10,4.55409209344e+11,Apple M2,arm64e ARM64E
Jose Puebla MBP,MacBook-Pro-JP.local,67f6adb178df23b4c0a308f6,67f6af7c22880508e6abdc54,Mac OS X,26.5.1.25F80,Active,2026-06-22T21:00:12.155Z,102614,Apple Inc.,"MacBookPro18,1",WY0V9PQVHF,arm64,3.4359738368e+10,1.460475904e+10,4.79780036608e+11,Apple M1 Pro,arm64e ARM64E
JoshDesktopW11,JoshDesktopW11,65c6a90fc5d32dbbac0a6ed8,64b830871e840c996b704ed1,Windows,10.0.26200.8246,Inactive,2026-06-22T20:23:59Z,2.665279e+06,HP,HP Desktop M01-F1xxx,2MO2233BNK,64-bit,1.2884901888e+10,1.28722669568e+11,3.8229979136e+11,AMD Ryzen 5 4600G with Radeon Graphics,x86_64
USATP - 0017,usatestprep-MacBook-Air,6986547a4b093332566e28de,5f4f0a1e683b0c3ce0095817,Mac OS X,13.5.2.22G91,Inactive,2026-02-07T21:01:25Z,,Apple Inc.,"MacBookAir8,1",C02YF0J3JK77,x86_64,,,,,
USATP - 0034,usatestprep-MacBook-Air,698a7840ef1bedae35f588f3,5f4f0a1e683b0c3ce0095817,Mac OS X,13.4.22F66,Inactive,2026-02-10T00:15:43.774Z,,Apple Inc.,"MacBookAir8,2",C02Z2E08LYWG,x86_64,,,,,
USATP - 0038,usatestprep-MacBook-Air,6986431bcf38c2285aef1ced,5f4f0a1e683b0c3ce0095817,Mac OS X,14.1.1.23B81,Inactive,2026-02-10T17:05:31Z,,Apple Inc.,"MacBookAir8,1",C02YC1ZHJK77,x86_64,,,,,
USATP-0091 MBA,FVFDF40UMNHX,6039166da9730a179b8d37b5,659dcde0171d714c8ff6a687,Mac OS X,15.7.7.24G720,Active,2026-06-22T21:00:12.155Z,157438,Apple Inc.,"MacBookAir9,1",FVFDF40UMNHX,x86_64,1.7179869184e+10,1.6982740992e+11,8.0858165248e+10,Intel(R) Core(TM) i7-1060NG7 CPU @ 1.20GHz,x86_64h Intel x86-64h Haswell
