device.display_name,device.hostname,device.serial_number,device.primary_system_user_id,device.os,device.os_version,device.agent_version,device.agent_reporting_status,device.last_contact,device.mdm_enrolled,device.disk_encrypted
abnerlopez-EC1850.local,abnerlopez-EC1850.local,L29GKQ2XTT,6578934ef197f8205143f455,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
Abner Lopez MBP,Abners-MacBook-Pro.local,WYYYWN3HXL,,Mac OS X,26.3.1.25D2128,2.108.3,Inactive,2026-04-22T02:36:44.422Z,Enrolled with Jumpcloud,true
Gabriela Martinez MBP,Gabrielas-MacBook-Pro,L4T2KYPP2W,685da7907b6e15a508d69508,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
Gabriel Cobena MBA,Gabriels-MacBook-Air.local,D94QFKHG9V,690d1952d21c5c65f9dc4f9a,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
Jose Puebla MBP,MacBook-Pro-JP.local,WY0V9PQVHF,67f6af7c22880508e6abdc54,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
JoshDesktopW11,JoshDesktopW11,2MO2233BNK,64b830871e840c996b704ed1,Windows,10.0.26200.8246,2.138.3,Active,2026-06-23T13:32:04.403Z,Not Enrolled,true
USATP-0091 MBA,FVFDF40UMNHX,FVFDF40UMNHX,659dcde0171d714c8ff6a687,Mac OS X,15.7.7.24G720,2.138.3,Inactive,2026-06-22T23:51:47.655Z,Enrolled with Jumpcloud,true
USATP-0105 MBA,FVFDX20KQ6LT,FVFDX20KQ6LT,,Mac OS X,26.1.25B78,2.107.6,Inactive,2026-04-09T15:50:16.287Z,Enrolled with Jumpcloud,true
USATP-0111-XPS15,USATP-0111-XPS15,CJHFYD3,61e7010760a6f8555a71f610,Windows,10.0.26200.8655,2.138.3,Inactive,2026-06-23T00:06:19.797Z,Not Enrolled,true
USATP-0122 MBA,usatestprep-MacBook-Air,FVFFV426Q6LR,,Mac OS X,26.2.25C56,2.127.3,Inactive,2026-06-04T14:21:39Z,Enrolled with Jumpcloud,true
USATP - 0129,FVFFV42AQ6LR,FVFFV42AQ6LR,612a8a21faac130b9474d2d8,Mac OS X,26.3.25D125,2.107.6,Inactive,2026-04-20T12:58:35Z,Enrolled with Jumpcloud,true
USATP-0153 MBA,FVFG7732Q6LR,FVFG7732Q6LR,,Mac OS X,26.1.25B78,2.81.1,Inactive,2026-06-04T14:39:26.111Z,Enrolled with Jumpcloud,true
USATP-0302,XLQNN4F6XD,XLQNN4F6XD,,Mac OS X,26.4.1.25E253,2.115.0,Inactive,2026-05-06T18:02:09.18Z,Enrolled with Jumpcloud,true
USATP-0312 MBA,FVFJ2391Q6LR,FVFJ2391Q6LR,,Mac OS X,26.2.25C56,2.127.3,Inactive,2026-05-28T18:20:41.087Z,Enrolled with Jumpcloud,true
USATP - 0337,R094YQY5L4,R094YQY5L4,5f4f0a1e683b0c3ce0095817,Mac OS X,26.2.25C56,2.131.3,Inactive,2026-06-15T15:39:16Z,Enrolled with Jumpcloud,true
USATP - 0342,FVFL60801WG7,FVFL60801WG7,682f83d2a58281bbb45051bd,Mac OS X,26.5.1.25F80,2.138.3,Active,2026-06-23T13:32:04.403Z,Enrolled with Jumpcloud,true
USATP - 0345 MBA,FVFL60811WG7,FVFL60811WG7,,Mac OS X,26.1.25B78,2.107.6,Inactive,2026-04-09T16:26:03.56Z,Enrolled with Jumpcloud,true
